Study,TrialID,TestID,Excerpt,Object,Modification,TestType
Orange,148,paar_a_vR_mid,Paar,a,vR,mid
Mustard,144,paar_a_mulR,Paar,a,uR,
Olive,142,paar_a_mixR,Paar,a,iR,
Orange,163,paar_w_aL_big,Paar,w,aL,big
Grey,164,paar_w_aL_mid,Paar,w,aL,mid
Yellow,29,paar_w_aL,Paar,w,aL,tin
Olive,167,paar_w_vL_big,Paar,w,vL,big
Mustard,168,paar_w_vL_mid,Paar,w,vL,mid
Blue,35,paar_w_vL,Paar,w,vL,tin
Red,33,paar_w_mulL,Paar,w,uL,
Purple,31,paar_w_mixL,Paar,w,iL,
Olive,165,paar_w_aR_big,Paar,w,aR,big
Mustard,166,paar_w_aR_mid,Paar,w,aR,mid
Purple,30,paar_w_aR,Paar,w,aR,tin
Orange,169,paar_w_vR_big,Paar,w,vR,big
Grey,170,paar_w_vR_mid,Paar,w,vR,mid
Blue,36,paar_w_vR,Paar,w,vR,tin
Yellow,34,paar_w_mulR,Paar,w,uR,
Red,32,paar_w_mixR,Paar,w,iR,
Teal,99,anfang_p_aL_big,Anfang,p,aL,big
Olive,100,anfang_p_aL_mid,Anfang,p,aL,mid
Teal,101,anfang_p_aL_tin,Anfang,p,aL,tin
Orange,109,anfang_p_vL_big,Anfang,p,vL,big
Grey,110,anfang_p_vL_mid,Anfang,p,vL,mid
Orange,107,anfang_p_mulL,Anfang,p,uL,
Olive,105,anfang_p_mixL,Anfang,p,iL,
Mustard,102,anfang_p_aR_big,Anfang,p,aR,big
Grey,103,anfang_p_aR_mid,Anfang,p,aR,mid
Orange,104,anfang_p_aR_tin,Anfang,p,aR,tin
Orange,111,anfang_p_vR_big,Anfang,p,vR,big
Mustard,112,anfang_p_vR_mid,Anfang,p,vR,mid
Olive,108,anfang_p_mulR,Anfang,p,uR,
Grey,106,anfang_p_mixR,Anfang,p,iR,
Blue,1,anfang_a_aL_big,Anfang,a,aL,big
Yellow,2,anfang_a_aL_mid,Anfang,a,aL,mid
Purple,3,anfang_a_aL_tin,Anfang,a,aL,tin
Grey,95,anfang_a_vL_big,Anfang,a,vL,big
Olive,96,anfang_a_vL_mid,Anfang,a,vL,mid
Yellow,11,anfang_a_vL,Anfang,a,vL,tin
Red,9,anfang_a_mulL,Anfang,a,uL,
Red,7,anfang_a_mixL,Anfang,a,iL,
Blue,4,anfang_a_aR_big,Anfang,a,aR,big
Yellow,5,anfang_a_aR_mid,Anfang,a,aR,mid
Red,6,anfang_a_aR_tin,Anfang,a,aR,tin
Mustard,97,anfang_a_vR_big,Anfang,a,vR,big
Teal,98,anfang_a_vR_mid,Anfang,a,vR,mid
Blue,12,anfang_a_vR,Anfang,a,vR,tin
Purple,10,anfang_a_mulR,Anfang,a,uR,
Purple,8,anfang_a_mixR,Anfang,a,iR,
Blue,13,euro_p_aL_big,Europaeisch,p,aL,big
Yellow,14,euro_p_aL_mid,Europaeisch,p,aL,mid
Purple,15,euro_p_aL_tin,Europaeisch,p,aL,tin
Blue,23,euro_p_vL_big,Europaeisch,p,vL,big
Purple,24,euro_p_vL_mid,Europaeisch,p,vL,mid
Red,25,euro_p_vL_tin,Europaeisch,p,vL,tin
Yellow,19,euro_p_mulL,Europaeisch,p,uL,
Red,21,euro_p_mixL,Europaeisch,p,iL,
Blue,16,euro_p_aR_big,Europaeisch,p,aR,big
Red,17,euro_p_aR_mid,Europaeisch,p,aR,mid
Purple,18,euro_p_aR_tin,Europaeisch,p,aR,tin
Blue,26,euro_p_vR_big,Europaeisch,p,vR,big
Yellow,27,euro_p_vR_mid,Europaeisch,p,vR,mid
Red,28,euro_p_vR_tin,Europaeisch,p,vR,tin
Blue,20,euro_p_mulR,Europaeisch,p,uR,
Purple,22,euro_p_mixR,Europaeisch,p,iR,
Mustard,113,euro_a_aL_big,Europaeisch,a,aL,big
Olive,114,euro_a_aL_mid,Europaeisch,a,aL,mid
Orange,121,euro_a_vL_big,Europaeisch,a,vL,big
Teal,122,euro_a_vL_mid,Europaeisch,a,vL,mid
Grey,119,euro_a_mulL,Europaeisch,a,uL,
Mustard,117,euro_a_mixL,Europaeisch,a,iL,
Orange,115,euro_a_aR_big,Europaeisch,a,aR,big
Grey,116,euro_a_aR_mid,Europaeisch,a,aR,mid
Teal,123,euro_a_vR_big,Europaeisch,a,vR,big
Olive,124,euro_a_vR_mid,Europaeisch,a,vR,mid
Mustard,120,euro_a_mulR,Europaeisch,a,uR,
Olive,118,euro_a_mixR,Europaeisch,a,iR,
Grey,199,zusammen_a_aL_big,Zusammen,a,aL,big
Mustard,200,zusammen_a_aL_mid,Zusammen,a,aL,mid
Orange,207,zusammen_a_vL_big,Zusammen,a,vL,big
Grey,208,zusammen_a_vL_mid,Zusammen,a,vL,mid
Olive,205,zusammen_a_mulL,Zusammen,a,uL,
Teal,203,zusammen_a_mixL,Zusammen,a,iL,
Olive,201,zusammen_a_aR_big,Zusammen,a,aR,big
Grey,202,zusammen_a_aR_mid,Zusammen,a,aR,mid
Teal,209,zusammen_a_vR_big,Zusammen,a,vR,big
Orange,210,zusammen_a_vR_mid,Zusammen,a,vR,mid
Grey,206,zusammen_a_mulR,Zusammen,a,uR,
Mustard,204,zusammen_a_mixR,Zusammen,a,iR,
Olive,125,impf_w_aL_big,Impfangebot,w,aL,big
Orange,126,impf_w_aL_mid,Impfangebot,w,aL,mid
Mustard,133,impf_w_vL_big,Impfangebot,w,vL,big
Teal,134,impf_w_vL_mid,Impfangebot,w,vL,mid
Orange,131,impf_w_mulL,Impfangebot,w,uL,
Olive,129,impf_w_mixL,Impfangebot,w,iL,
Grey,127,impf_w_aR_big,Impfangebot,w,aR,big
Mustard,128,impf_w_aR_mid,Impfangebot,w,aR,mid
Olive,135,impf_w_vR_big,Impfangebot,w,vR,big
Grey,136,impf_w_vR_mid,Impfangebot,w,vR,mid
Teal,132,impf_w_mulR,Impfangebot,w,uR,
Orange,130,impf_w_mixR,Impfangebot,w,iR,
